,EventId,Date,Ticker,Name,Price
331446,70,2007-06-11,SMTC,SEMTECH CORP,16.32
331447,70,2007-06-12,SMTC,SEMTECH CORP,16.25
331448,70,2007-06-13,SMTC,SEMTECH CORP,16.51
331449,70,2007-06-14,SMTC,SEMTECH CORP,16.83
331450,70,2007-06-15,SMTC,SEMTECH CORP,16.98
331451,70,2007-06-18,SMTC,SEMTECH CORP,17.11
331452,70,2007-06-19,SMTC,SEMTECH CORP,17.43
331453,70,2007-06-20,SMTC,SEMTECH CORP,17.16
331454,70,2007-06-21,SMTC,SEMTECH CORP,17.61
331455,70,2007-06-22,SMTC,SEMTECH CORP,17.37
331456,70,2007-06-25,SMTC,SEMTECH CORP,17.18
331457,70,2007-06-26,SMTC,SEMTECH CORP,17.17
331458,70,2007-06-27,SMTC,SEMTECH CORP,17.34
331459,70,2007-06-28,SMTC,SEMTECH CORP,17.51
331460,70,2007-06-29,SMTC,SEMTECH CORP,17.33
331461,70,2007-07-02,SMTC,SEMTECH CORP,17.61
331462,70,2007-07-03,SMTC,SEMTECH CORP,17.79
331463,70,2007-07-05,SMTC,SEMTECH CORP,17.79
331464,70,2007-07-06,SMTC,SEMTECH CORP,17.89
331465,70,2007-07-09,SMTC,SEMTECH CORP,17.93
331466,70,2007-07-10,SMTC,SEMTECH CORP,17.68
331467,70,2007-07-11,SMTC,SEMTECH CORP,17.8
331468,70,2007-07-12,SMTC,SEMTECH CORP,18.33
331469,70,2007-07-13,SMTC,SEMTECH CORP,18.05
331470,70,2007-07-16,SMTC,SEMTECH CORP,17.95
331471,70,2007-07-17,SMTC,SEMTECH CORP,18.19
331472,70,2007-07-18,SMTC,SEMTECH CORP,18.0
331473,70,2007-07-19,SMTC,SEMTECH CORP,17.94
331474,70,2007-07-20,SMTC,SEMTECH CORP,17.75
331475,70,2007-07-23,SMTC,SEMTECH CORP,17.48
331476,70,2007-07-24,SMTC,SEMTECH CORP,17.09
331477,70,2007-07-25,SMTC,SEMTECH CORP,17.12
331478,70,2007-07-26,SMTC,SEMTECH CORP,16.49
331479,70,2007-07-27,SMTC,SEMTECH CORP,16.28
331480,70,2007-07-30,SMTC,SEMTECH CORP,16.49
331481,70,2007-07-31,SMTC,SEMTECH CORP,16.25
331482,70,2007-08-01,SMTC,SEMTECH CORP,16.38
331483,70,2007-08-02,SMTC,SEMTECH CORP,16.81
331484,70,2007-08-03,SMTC,SEMTECH CORP,15.99
331485,70,2007-08-06,SMTC,SEMTECH CORP,16.12
331486,70,2007-08-07,SMTC,SEMTECH CORP,16.0199
331487,70,2007-08-08,SMTC,SEMTECH CORP,16.72
331488,70,2007-08-09,SMTC,SEMTECH CORP,15.49
331489,70,2007-08-10,SMTC,SEMTECH CORP,15.69
331490,70,2007-08-13,SMTC,SEMTECH CORP,16.39
331491,70,2007-08-14,SMTC,SEMTECH CORP,16.5
331492,70,2007-08-15,SMTC,SEMTECH CORP,15.76
331493,70,2007-08-16,SMTC,SEMTECH CORP,15.9
