EventId,Ticker,Date Made Public,Name,Entity,Type,Location,", ",Total Records,Other,Event Discription,Source,Attached Files,,All Terms,CompanyId,Year,ContentText,GID
701,BPF,11/27/17,Bulletproof,HACK,BSO,"Bellevue, Washington",,0,,"""What Happened: In mid-October 2017, Bulletproof identified unauthorized computer code that had been added to the software that operates the checkout page at www.bulletproof.com. When we discovered the unauthorized code, we immediately removed it and began an investigation. We have been working with leading computer security firms to examine our systems. We have also been working with law enforcement. Based on our investigation, we determined that the unauthorized code may have been capable of capturing information entered during the checkout process during the period from May 20, 2017 through October 13, 2017 and October 15-19, 2017. You are receiving this notice because your payment card may have been entered on the checkout page during this time period.What Information Was Involved: The information on the checkout page that the code may have accessed includes customersŠ—Č names, addresses, email addresses, payment card numbers, expiration dates, and card security codes (CVV).""",California Attorney General,https://oag.ca.gov/privacy/databreach/list,,,,,,
700,BHE,11/21/17,Uber,HACK,BSO,"San Francisco, California",,"57,000,000",,"""Uber disclosed Tuesday that hackers had stolen 57 million driver and rider accounts and that the company had kept the data breach secret for more than a year after paying a $100,000 ransom.The deal was arranged by the companyŠ—Čs chief security officer and under the watch of the former chief executive, Travis Kalanick, according to several current and former employees who spoke on the condition of anonymity because the details were private.The security officer, Joe Sullivan, has been fired. Mr. Kalanick was forced out in June, although he remains on UberŠ—Čs board.The two hackers stole data about the companyŠ—Čs riders and drivers Š—” including phone numbers, email addresses and names Š—” from a third-party server and then approached Uber and demanded $100,000 to delete their copy of the data, the employees said.""",Media,https://www.nytimes.com/2017/11/21/technology/uber-hack.html,,,,,,
696,YUM,11/17/17,Pizza Hut,HACK,BSO,"Plano, Texas",,"60,000",,"""If you kicked October off with a Pizza Hut pizza, you might want to keep a close eye on your credit report Š—– and credit card statement.The chain has emailed some patrons alerting them their personal information might have been compromised after hackers gained access to its website and app.Roughly 60,000 customers are thought to have been impacted by the Š—“third party security intrusion.Š—ť Emails to customers said the hack occurred over a 28-hour period from the morning of Oct. 1 to midday Oct. 2.Among the data that might have been compromised are customer names, billing ZIP codes, delivery addresses, email addresses, and payment card information, such as account numbers, expiration dates and Card Verification Value numbers.""",Media,http://fortune.com/2017/10/17/pizza-hut-data-breach/,,,,,,
697,H,11/16/17,Hyatt Hotels,HACK,BSO,"Chicago, Illinois",,0,,"""Multinational hotel corporation Hyatt recently alerted its customer of a credit card breach at some of its hotels Š—– the second major incident of its kind in two years.The corporation said that its cyber security team discovered evidence of unauthorized access to payment card information from cards manually entered or swiped at the front desk of 41 of its hotels in locations such as Hawaii (three locations breached), Guam (1), Puerto Rico (1), and China (18, the highest number of breaches reported), between March 18 and July 02, 2017.""",Media,http://www.insurancebusinessmag.com/us/news/cyber/hyatt-hotels-suffers-major-credit-card-breach-again-82025.aspx,,,,,,
702,DRI,11/15/17,Cheddar's Scratch Kitchen,PHYS,BSO,"Irving, Texas",,0,,"""What HappenedEarly on July 21, 2017, there was a break-in at locked corporate facility for Cheddar's Scratch Kitchen in Texas that resulted in the theft of several laptops and a hard drive containing personal some team members' personal information and very limited guest information. The incident was promptly reported to the police and their investigation is ongoing.What Information Was InvolvedWhile the investigation continues, our current understanding is that the personal information that may have been involved in the incident likely includes your Social Security number; contact information, such as your name, address, email address, and telephone number; other employment-related information and limited guest information, if applicable. In some cases, a photocopy of your ID may have been included. We regret that your personal information may be affected.""",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-110643,,,,,,
703,ABM,11/14/17,ABM Industries,HACK,BSO,"New York, New York",,0,,"""What Happened? On or about August 1, 2017, we discovered that ABM had become the target of a phishing email campaign. For background, phishing is a type of electronic attack where outside individuals impersonate a trusted person or company to obtain information or install dangerous software. Several ABM employees had clicked on the phishing emails and entered their credentials. As is our protocol, we immediately took steps to secure these employeesŠ—Č email accounts and launched an in-depth investigation to determine whether any sensitive information was accessed or acquired. We subsequently determined, with the help of outside computer forensic investigators, that an unknown actor had gained access to certain ABM email accounts. ABM determined, after a programmatic and manual review of the contents of the affected email accounts, the types of protected information contained in the affected email accounts and to which individuals the information relates.What Information Was Involved? While we currently have no evidence that the unauthorized individual or individuals actually accessed or acquired your information, we have confirmed that your name accessible within the affected email accounts.""Îľ",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-104263,,,,,,
704,TOO,11/9/17,"Tween Brands, Inc.",HACK,BSO,"Austin, Texas",,0,,"""What Happened?On September 7, 2017, we discovered signs indicating attempts had been made to gain access to one of our web servers. We immediately removed the server from our network and began an investigation with the assistance of aleading computer forensics firm. The investigation determined that an unauthorized individual may have gainedaccess to the server and may have used that access to connect to a database server.ÎľWhat Information Was Involved?The database included information including the username and password combination that you use to access thevendor portal, vendors.tweenbrands.com.""",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-103242,,,,,,
705,KMB,11/2/17,Kimberly-Clark,HACK,BSO,"Neenah, Wisconsin",,0,,"""What happened?We have extensive measures in place to protect the information that you provide to us; however, around October 20, 2017, we identified an organized effort to access registered accounts on our website/app from other compromised sites not related to Kimberly-Clar nor any of its brand like Huggies or Kleenex, etc. we took immediate action to block this attempt. Unfortunately, a very small number of accounts, including yours, had account profile information potentially exposed.What information was involved?The account profile information that was potentially exposed includes information such as name, date of birth, e-mail address, and child name and date of birth (if provided). It's important to note that your account profile does not include any financial information or social security numbers.""",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-103174,,,,,,
706,TWX,10/30/17,Home Box Office (HBO),HACK,BSO,"New York, New York",,0,,"""What HappenedÎľIn late July 2017, HBO became aware of an incident in which an unauthorized third party claimed to haveaccessed HBOŠ—Čs information technology network. We began investigating the incident as soon as we becameaware of the potential breach. Our investigation has revealed that an unauthorized third party illegally accessedHBOŠ—Čs network, including some personally identifiable information about you.ÎľWhat Information Was InvolvedThough the investigation is still underway, we have determined that the information involved in this incidentincluded the following types of your personally identifiable information: [Personal Information Categories].""",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-103102,,,,,,
698,TMUS,10/12/17,T-Mobile,HACK,BSO,"Houston, Texas",,"69,600,000",,"""A bug onÎľT-MobileŠ—…s website may haveÎľallowed hackers to view your personal information. The bug, which has since been patched, allowed hackers to view your email address, account number, and even your phoneŠ—Čs IMSI number (a unique number that identifies subscribers). According to the researcher that found the bug, there was no way to prevent someone writing a script and finding out the information for all 69.6 million potential victims.""",Media,https://www.androidauthority.com/t-mobile-exploit-reveals-customer-information-806750/,,,,,,
