ticker,evtdate,diff
A,24-Mar-08,0.00504333333333
AA,15-Jul-10,0.0198266666667
AAN,2-Nov-11,-0.00987
AAN,22-Oct-13,0.00018
AAP,16-Mar-16,-0.00505
AAP,31-Mar-08,0.0187566666667
AAPL,1-Apr-11,0.00166333333333
AAPL,19-Feb-13,0.00268
AAPL,2-Sep-14,-0.0210133333333
AAPL,22-Jul-13,0.0195066666667
AAPL,26-Feb-14,0.02055
AAPL,4-Sep-12,0.00382666666667
AAPL,9-Jun-10,0.00244333333333
ABB,11-Sep-17,-0.00492666666667
ABM,14-Nov-17,-0.00743333333333
ABM,21-Apr-11,0.0007
ADBE,13-May-13,0.01789
ADBE,14-Nov-12,0.00164
ADBE,4-Oct-13,-4.33333333333e-05
ADP,15-Jun-11,0.00157666666667
ADP,19-Jun-06,-0.00191666666667
ADP,28-Dec-11,-0.00154
ADP,30-Jul-13,-0.00665333333333
ADP,5-May-16,0.00108333333333
ADP,6-Jul-06,-0.00998333333333
ADVS,10-Jan-07,-0.000513333333333
AET,12-Dec-06,-0.00711
AET,15-Nov-10,-0.0188166666667
AET,24-Aug-17,-0.00177333333333
AET,28-May-09,-0.0162
AET,28-May-10,0.01026
AFL,16-Mar-17,0.00166666666667
AFL,19-Apr-06,-0.00380333333333
AFL,22-Aug-06,0.00742666666667
AIG,14-Jun-06,-0.00535
ALK,26-Jul-17,0.00122333333333
ALL,23-Aug-11,-0.0189366666667
ALL,29-Jun-06,-0.00413
ALSK,20-Feb-14,-0.00402
ALU,18-May-07,0.0112566666667
AMCC,4-Apr-11,0.01212
AMD,14-Jan-13,0.00981666666667
AMD,9-Apr-12,0.01143
AMTD,1-Dec-06,-0.00645
AMTD,14-Sep-07,0.000796666666667
AMZN,29-Sep-17,-0.00691333333333
AMZN,31-Jan-11,0.00285
AN,27-May-14,0.00248666666667
ANTM,31-Jul-17,0.0133766666667
ANTM,5-Feb-15,0.00155333333333
ARW,8-Mar-10,0.00969
AXP,.,0.00969
AXP,13-Jul-12,5.66666666667e-05
AXP,14-Aug-09,0.0170333333333
AXP,25-Mar-14,0.000883333333333
AXP,30-Dec-13,0.00142333333333
AXP,7-Apr-14,0.00102
BA,11-Jul-14,-0.00172666666667
BA,13-Dec-06,-0.00427333333333
BA,15-Nov-06,0.00983333333333
BA,21-Apr-06,-0.01163
BA,27-Feb-17,0.00103
